Region ID, Region name, Region volume, vol P1, vol P2, vol P3, vol LD1, vol LD2, vol LD3, vol HD1, vol HD2, vol HD3, avg P, avg LD, avg HD, pv LD, pv HD
 47, Paraventricular hypothalamic nucleus magnocellular division anterior magnocellular part, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 48, Anterior cingulate area ventral part, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 49, intraparafloccular fissure, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 50, Precommissural nucleus, 2656, 8.82496e+07, 2.12735e+08, 5.18017e+07, 4.94521e+08, 6.86986e+07, 9.41425e+07, 59659, 4.06551e+07, 1.90185e+08, 1.17595e+08, 2.19121e+08, 7.69666e+07, 0.443106, -0.54637
 51, Intralaminar nuclei of the dorsal thalamus, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 52, Entorhinal area lateral part layer 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 53, Spinal nucleus of the trigeminal oral part middle dorsomedial part dorsal zone, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 54, medial forebrain bundle, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 55, Paraventricular hypothalamic nucleus parvicellular division anterior parvicellular part, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 56, Nucleus accumbens, 131494, 4.16503e+09, 7.88567e+09, 7.45905e+09, 6.80129e+09, 1.30896e+10, 1.47657e+10, 5.75208e+09, 4.18695e+09, 2.94922e+09, 6.50325e+09, 1.15522e+10, 4.29608e+09, 0.0833825, -0.131325
 57, paramedian sulcus, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 58, Medial terminal nucleus of the accessory optic tract, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 59, Intermediodorsal nucleus of the thalamus, 6946, 31, 2.84955e+07, 34613, 1.04785e+09, 7.58427e+06, 52, 0, 0, 6.77698e+07, 9.51005e+06, 3.51811e+08, 2.25899e+07, 0.294911, 0.54894
 60, Entorhinal area lateral part layer 6b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 61, Spinal nucleus of the trigeminal oral part middle dorsomedial part ventral zone, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 62, medial longitudinal fascicle, 40768, 9.54437e+08, 7.33848e+08, 2.89012e+09, 9.31843e+08, 7.25328e+08, 1.58721e+09, 1.13914e+09, 9.82809e+07, 7.99754e+08, 1.52614e+09, 1.08146e+09, 6.79058e+08, -0.49852, -0.238982
 63, Paraventricular hypothalamic nucleus descending division, 1586, 9.32499e+06, 1.69682e+06, 1.21384e+07, 1.00334e+07, 6.34268e+07, 1.06929e+07, 644771, 2.24725e+06, 419269, 7.72007e+06, 2.8051e+07, 1.10376e+06, 0.237926, -0.0629872
 64, Anterodorsal nucleus, 5007, 2.15669e+08, 2.75754e+08, 6.02261e+08, 1.1106e+09, 5.97581e+08, 2.01586e+08, 2.75713e+08, 2.77413e+08, 8.92298e+07, 3.64561e+08, 6.36589e+08, 2.14119e+08, 0.313553, -0.245118
 65, parafloccular sulcus, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 66, Lateral terminal nucleus of the accessory optic tract, 191, 1.38286e+06, 1.48365e+06, 8.30691e+06, 5.36838e+06, 4.44265e+06, 3.29469e+06, 4.25796e+06, 818955, 876979, 3.72447e+06, 4.36857e+06, 1.98463e+06, 0.755822, -0.451665
 67, Interstitial nucleus of Cajal, 1766, 3.88302e+07, 9.45061e+07, 4.94283e+06, 1.63063e+08, 1.58975e+06, 4.63872e+06, 0, 3.22011e+06, 1.09901e+08, 4.6093e+07, 5.64305e+07, 3.7707e+07, 0.841564, -0.829014
 68, Frontal pole layer 1, 8116, 1.00185e+09, 1.70883e+07, 1.15846e+09, 2.84689e+08, 7.53087e+08, 3.79988e+08, 2.85574e+08, 1.57589e+08, 4.16648e+08, 7.25799e+08, 4.72588e+08, 2.86604e+08, -0.465424, -0.214536
 69, Spinal nucleus of the trigeminal oral part ventrolateral part, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 70, midbrain related, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 71, Paraventricular hypothalamic nucleus magnocellular division, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 72, Anterodorsal preoptic nucleus, 1094, 2.11336e+06, 1.43418e+07, 1.5587e+07, 3.98736e+07, 3.03943e+07, 1.38353e+07, 3.94497e+06, 1.63927e+07, 4.27828e+06, 1.06807e+07, 2.80344e+07, 8.20532e+06, 0.0718214, -0.636481
 73, ventricular systems, 10500, 1.31324e+08, 5.88525e+08, 9.38505e+07, 2.12816e+09, 6.32185e+07, 1.40201e+08, 7.95935e+06, 1.03041e+08, 4.14788e+08, 2.71233e+08, 7.77193e+08, 1.75263e+08, 0.422561, -0.590012
 74, Lateral visual area layer 6a, 6749, 3.86295e+08, 6.73068e+08, 7.93144e+08, 1.46382e+09, 1.1852e+08, 1.03396e+08, 2.49355e+08, 6.74275e+06, 1.06373e+08, 6.17502e+08, 5.61912e+08, 1.20824e+08, -0.891103, -0.0121228
 75, Dorsal terminal nucleus of the accessory optic tract, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 76, Interstitial nucleus of the vestibular nerve, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 77, Spinal nucleus of the trigeminal oral part caudal dorsomedial part, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 78, middle cerebellar peduncle, 29755, 4.45368e+08, 4.7918e+08, 9.43427e+08, 4.84798e+08, 1.21489e+09, 1.13597e+09, 6.67777e+08, 2.84735e+08, 1.02929e+09, 6.22658e+08, 9.45219e+08, 6.60601e+08, 0.233388, 0.870943
 79, Paraventricular hypothalamic nucleus magnocellular division medial magnocellular part, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 80, Anterior hypothalamic area, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 81, lateral ventricle, 79784, 2.34756e+09, 2.38408e+09, 5.19489e+09, 6.14422e+09, 4.55338e+09, 2.9431e+09, 2.33673e+09, 2.54444e+09, 2.74045e+09, 3.30884e+09, 4.5469e+09, 2.54054e+09, 0.314809, -0.378115
 82, Nucleus of the lateral lemniscus dorsal part, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 83, Inferior olivary complex, 17050, 1.81806e+08, 2.77911e+08, 1.43683e+09, 1.58843e+08, 3.05572e+08, 5.20146e+08, 7.89631e+08, 6.23057e+07, 3.88229e+08, 6.32182e+08, 3.28187e+08, 4.13389e+08, -0.422096, -0.587426
 84, Prelimbic area layer 6a, 15022, 2.32241e+09, 2.3828e+09, 2.86342e+09, 1.87194e+09, 1.97244e+09, 8.49502e+08, 8.093e+08, 9.96459e+08, 1.93153e+09, 2.52288e+09, 1.56463e+09, 1.24576e+09, -0.0418593, -0.0155848
 85, spinocerebellar tract, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 86, middle thalamic commissure, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 87, Paraventricular hypothalamic nucleus parvicellular division medial parvicellular part dorsal zone, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 88, Anterior hypothalamic nucleus, 24969, 4.70137e+07, 2.29022e+08, 3.3277e+08, 1.83562e+08, 7.83528e+08, 1.37108e+08, 5.23048e+07, 1.10498e+08, 5.19274e+07, 2.02935e+08, 3.68066e+08, 7.15767e+07, 0.418204, -0.133884
 89, rhinocele, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 90, Nucleus of the lateral lemniscus horizontal part, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 91, Interposed nucleus, 27631, 1.39381e+08, 2.70874e+08, 6.93615e+08, 2.19082e+09, 1.03818e+09, 2.19115e+08, 3.6655e+08, 1.8186e+08, 9.40505e+07, 3.67957e+08, 1.14937e+09, 2.14154e+08, 0.1835, -0.367265
 92, Entorhinal area lateral part layer 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 93, motor root of the trigeminal nerve, 1961, 2.57279e+07, 1.55895e+07, 4.49609e+07, 1.31364e+07, 1.04549e+08, 8.83794e+07, 3.08168e+07, 1.33476e+07, 6.32901e+07, 2.87594e+07, 6.86883e+07, 3.58182e+07, 0.172179, 0.637443
 94, Paraventricular hypothalamic nucleus parvicellular division, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 95, Agranular insular area, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 96, Dorsal cochlear nucleus, 18852, 1.87288e+08, 2.40103e+08, 4.7448e+08, 1.03562e+09, 8.24977e+08, 2.14062e+08, 2.78049e+08, 1.31253e+08, 3.26042e+08, 3.00624e+08, 6.91553e+08, 2.45115e+08, 0.141302, -0.555957
 97, Temporal association areas layer 1, 17112, 8.95839e+08, 7.94464e+08, 1.69144e+09, 2.59694e+09, 8.79118e+08, 4.20926e+08, 1.09132e+09, 0, 1.81477e+07, 1.12725e+09, 1.29899e+09, 3.69823e+08, 0.784839, -0.113316
 98, subependymal zone, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 99, Nucleus of the lateral lemniscus ventral part, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 100, Interpeduncular nucleus, 13022, 2.05448e+08, 1.10395e+08, 1.35099e+08, 1.54918e+08, 9.31999e+06, 737550, 0, 1.65605e+06, 1.91224e+08, 1.50314e+08, 5.49918e+07, 6.42934e+07, -0.112442, -0.204461
 101, Ventral cochlear nucleus, 24149, 1.84895e+08, 1.75133e+08, 2.74759e+08, 4.51186e+08, 5.71879e+08, 4.478e+08, 1.66402e+08, 8.78007e+07, 2.35662e+08, 2.11596e+08, 4.90288e+08, 1.63288e+08, 0.00272305, -0.32838
 102, nigrostriatal tract, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 103, Paraventricular hypothalamic nucleus magnocellular division posterior magnocellular part, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 104, Agranular insular area dorsal part, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 105, Superior olivary complex medial part, 4708, 4.63672e+07, 2.20273e+08, 5.35729e+08, 2.91984e+07, 3.17816e+08, 3.68018e+08, 3.92775e+08, 4.34631e+07, 1.50866e+08, 2.67456e+08, 2.38344e+08, 1.95701e+08, -0.850951, -0.644838
 106, Inferior salivatory nucleus, 230, 2.79349e+06, 2.62783e+06, 9.08498e+06, 1.00456e+07, 1.64472e+07, 3.98548e+06, 5.59709e+06, 8.27466e+06, 1.01273e+07, 4.83543e+06, 1.01594e+07, 7.99968e+06, 0.193677, 0.195925
 107, Somatomotor areas Layer 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 108, choroid plexus, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 109, nigrothalamic fibers, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 110, Paraventricular hypothalamic nucleus parvicellular division periventricular part, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 111, Agranular insular area posterior part, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 112, Granular lamina of the cochlear nuclei, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 113, Primary somatosensory area lower limb layer 2/3, 20769, 2.42556e+09, 1.15262e+09, 1.23412e+09, 7.24379e+09, 3.4767e+09, 7.56813e+08, 1.16599e+09, 1.44648e+07, 1.03782e+09, 1.6041e+09, 3.82577e+09, 7.39425e+08, 0.230439, -0.126248
 114, Superior olivary complex lateral part, 6221, 4.0201e+07, 2.03481e+08, 5.62667e+08, 1.97713e+07, 2.7436e+08, 2.86239e+08, 3.14668e+08, 5.3354e+07, 1.13723e+08, 2.68783e+08, 1.93457e+08, 1.60582e+08, -0.629942, -0.48722
 115, Trochlear nucleus, 233, 2.42517e+06, 2.87241e+06, 2419, 1.22916e+07, 0, 0, 0, 163, 7.97288e+06, 1.76667e+06, 4.0972e+06, 2.65768e+06, 0.533413, 0.716891
 116, choroid fissure, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 117, optic chiasm, 9857, 1.06971e+08, 8.05709e+07, 4.45337e+08, 1.4615e+08, 1.20169e+08, 2.85502e+07, 2.62297e+07, 2.71534e+06, 3.76724e+08, 2.1096e+08, 9.82897e+07, 1.35223e+08, -0.323782, -0.611435
 118, Periventricular hypothalamic nucleus intermediate part, 4523, 2.70794e+06, 8.91936e+06, 5.83916e+07, 9.66563e+06, 7.32015e+07, 0, 0, 56485, 1.47521e+06, 2.33396e+07, 2.76224e+07, 510565, 0.864988, -0.187823
 119, Agranular insular area ventral part, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 120, Agranular insular area posterior part layer 1, 14008, 4.26607e+08, 2.94486e+08, 7.43954e+08, 1.03291e+09, 1.01642e+09, 6.37975e+08, 8.11535e+08, 497, 5.3542e+06, 4.88349e+08, 8.95768e+08, 2.72297e+08, 0.0546942, -0.428716
 121, Lateral visual area layer 6b, 1273, 6.34145e+07, 1.08269e+08, 1.33289e+08, 2.32363e+08, 2.24533e+07, 1.33309e+07, 3.58382e+07, 2.08418e+06, 1.8027e+07, 1.01658e+08, 8.93824e+07, 1.86498e+07, -0.849728, -0.0109121
 122, Superior olivary complex periolivary region, 4106, 5.92915e+07, 1.53042e+08, 4.01084e+08, 1.40398e+07, 2.24263e+08, 2.40023e+08, 2.70023e+08, 1.86007e+07, 1.46951e+08, 2.04472e+08, 1.59442e+08, 1.45192e+08, -0.68259, -0.592961
 123, Koelliker-Fuse subnucleus, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 124, interventricular foramen, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 125, optic tract, 21719, 1.20564e+08, 2.18945e+08, 1.01625e+09, 4.62166e+08, 9.41096e+08, 1.19492e+09, 1.85009e+08, 7.99356e+07, 1.32839e+08, 4.5192e+08, 8.66061e+08, 1.32595e+08, 0.227102, -0.242193
 126, Periventricular hypothalamic nucleus posterior part, 4532, 1.71051e+06, 2806, 1.89541e+08, 1.64851e+06, 6.65693e+07, 1.73539e+06, 144125, 634470, 3.82049e+07, 6.37514e+07, 2.33177e+07, 1.29945e+07, -0.497904, -0.38738
 127, Anteromedial nucleus, 10744, 4.25601e+08, 6.22052e+08, 5.19724e+08, 7.15529e+08, 8.80461e+08, 4.17644e+08, 2.06995e+08, 4.42275e+08, 1.46998e+08, 5.22459e+08, 6.71211e+08, 2.65423e+08, 0.282487, -0.041696
 128, Midbrain reticular nucleus, 155836, 5.19423e+09, 7.50909e+09, 1.45874e+10, 1.24438e+10, 8.64216e+09, 7.86149e+09, 7.63695e+09, 4.89653e+09, 5.0161e+09, 9.09691e+09, 9.64915e+09, 5.84986e+09, 0.840991, -0.250735
 129, third ventricle, 55005, 1.95983e+08, 1.43987e+09, 1.19329e+09, 9.24358e+09, 9.46607e+08, 2.5996e+08, 1.88495e+08, 2.80962e+08, 9.53128e+08, 9.43048e+08, 3.48338e+09, 4.74195e+08, 0.345496, -0.271146
 130, Superior central nucleus raphe medial part, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 131, Lateral amygdalar nucleus, 20551, 3.95948e+08, 4.21168e+08, 1.39476e+09, 5.89383e+08, 1.10397e+09, 9.16923e+08, 5.52177e+08, 8.7837e+06, 1.7317e+07, 7.37292e+08, 8.70092e+08, 1.92759e+08, 0.676132, -0.149731
 132, Prelimbic area layer 6b, 677, 8.48692e+07, 9.10595e+07, 1.15583e+08, 5.14847e+07, 6.57759e+07, 3.54049e+07, 2.40545e+07, 5.38703e+07, 8.42488e+07, 9.71706e+07, 5.08885e+07, 5.40579e+07, -0.0115636, -0.0555702
 133, Periventricular hypothalamic nucleus preoptic part, 3081, 7.63925e+06, 2.74978e+07, 3.19065e+07, 1.78733e+07, 4.99061e+07, 10417, 0, 692889, 1.89943e+07, 2.23478e+07, 2.25966e+07, 6.5624e+06, 0.986063, -0.11745
 134, pallidotegmental fascicle, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 135, Nucleus ambiguus, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 136, Intermediate reticular nucleus, 77051, 1.39322e+09, 2.40676e+09, 8.11542e+09, 4.48384e+09, 8.3778e+09, 5.30531e+09, 5.54553e+09, 2.34338e+09, 1.48171e+09, 3.9718e+09, 6.05565e+09, 3.12354e+09, 0.348361, -0.691039
 137, Superior central nucleus raphe lateral part, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 138, Lateral group of the dorsal thalamus, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 139, Entorhinal area lateral part layer 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 140, cerebral aqueduct, 17202, 9.78705e+07, 2.45763e+08, 2.01582e+07, 1.02997e+09, 103694, 1.39724e+06, 717507, 1.96275e+06, 5.67967e+08, 1.21264e+08, 3.43824e+08, 1.90216e+08, 0.478891, 0.694741
 141, Periventricular region, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 142, pallidothalamic pathway, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 143, Nucleus ambiguus ventral division, 702, 7.89825e+06, 1.05178e+07, 7.02957e+07, 2.49995e+07, 5.28472e+07, 4.64854e+07, 4.77923e+07, 1.17988e+07, 1.80664e+06, 2.95706e+07, 4.1444e+07, 2.04659e+07, 0.545605, -0.675086
 144, Olfactory tubercle layers 1-3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
